"Наименование","ЕИК","Вид на агенцията","Към участник","Описание"
"Дакс медия АД","121499212","Рекламна","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ - Партия","ПОЛИТИЧЕСКА РЕКЛАМА"
"МАРТ МЕДИЯ ЕООД","102875076","Рекламна","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ - Партия","ПОЛИТИЧЕСКА РЕКЛАМА"
"Янтра прес АД В.Търново вестник Янра днес","104092980","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"БТА","000695071","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Медияпул ООД","130862381","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"С-ФакторБГ ЕООД","202104455","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"168 ЧАСА ЕООД","831400025","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"ДИР.БГ АД","130243596","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Уебграунд Груп АД","207051177","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"ОФФ МЕДИЯ АД","201670952","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"КРИВИЦКИ ТРЕЙД ООД","200107591","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"ТИЙМ Т КОНСУЛТ ЕООД","204120682","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"ДАРИК РАДИО АД","831476119","За осъществяване на връзки с обществеността","КП СИЯНИЕ - Коалиция",""
