"Наименование","ЕИК","Вид на агенцията","Към участник","Описание"
"БНР РРС Бургас","0006723430082","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ИДЕЯ КОММ АД","121826308","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"СЛИВЕНПОСТ ЕООД","206463765","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"СТУДИО МЕДИЯ ЕООД","201583287","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"пропърти инвест - 2015","203525286","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"биколор оод","175078989","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"никол 2 еоод","106067341","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"телесат  оод","106000517","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ПОЛИ 99 ООД","115627337","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"БЪЛГАРСКО НАЦИОНАЛНО РАДИО, РРС ПЛОВДИВ","0006723430044","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ОФИС ЕЛЕМЕНТ ЕООД","175073013","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"МИДИЯ ПАК ЕООД","203878350","Рекламна","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция",""
"БНР -РСС - РАДИО ВАРНА","0006723430025","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"СМАРТ ХОУМ СИС ООД - НОВА ВАРНА","202977153","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"""ДАРИК ДИДЖИТЪЛ"" АД","205737512","Рекламна","КП АНТИКОРУПЦИОНЕН БЛОК - Коалиция",""
"Телевизия Евроком ООД ","121761999","Рекламна","КП АНТИКОРУПЦИОНЕН БЛОК - Коалиция",""
"БТА","000695071","Рекламна","КП АНТИКОРУПЦИОНЕН БЛОК - Коалиция",""
"Балканец Медия ООД","206559913","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"СНАЙДИ ЕООД","206829328","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"ДИР.БГ АД","130243596","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"ПЛОВДИВ ПРЕС ООД","204808860","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"Партнерс Медиа Груп ЕООД","202720625","Рекламна","ВЪЗРАЖДАНЕ - Партия","НАЕМ РЕКЛАМНА ПЛОЩ"
"ФОТОГРАФСКА КЪЩА УЗУНОВ ЕООД","207612183","Рекламна","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция",""
"ГРИФО ДИЗАЙН ЕООД","204762046","Рекламна","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция",""
"БГ МЕДИЯ ООД","147030752","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Джи Кей Сървисес ЕООД","131140204","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Дръстър Медия Груп ЕООД","202891341","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Ер Ен Трейдинг ЕООД","147216461","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"ИДЕЯ КОММ АД","121826308","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"МЕДИА ЛАЙТ ЕООД","147055321","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Медиатор 2010 ООД","201554175","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"МЕДИЯ ОНЛАЙН ГРУП ЕООД","204191601","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"МОНТАНА 24 ЕООД","204827597","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Новините днес ЕООД","207838474","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"ПИАР АВЕНЮ ООД","201214781","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"ПУБЛИТИКС МЕДИА ЕООД","201501023","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Рент 4 Ивент ЕООД","205125401","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"СКАТ ООД","812104705","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"ТЕЛЕВИЗИЯ ДОБРУДЖА ООД","203201895","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Хоум офис студио ЕООД ","207807945","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"БНР Видин","0006723430078","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ТОП ПРЕСА МЕДИЯ ГРУП ЕООД","205586971","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Хроника-ГД ЕООД","101608871","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"мг брандинг еоод","207391518","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"непар еоод","101790057","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"принт фектори еоод","202163181","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Орех 10 ЕООД","201233550","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Джей ай груп ЕООД","206577039","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Топ Дизайн БГ ЕООД","206698628","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"систед еоод","118584631","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"плевен принт оод","114589321","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Ви Ди Ен Ера ТВ ЕООД","204727180","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ЮРО МЕДИА ГРУП ООД","201766018","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"вирус дизайн еоод","202282785","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Телевизия Евроком ООД ","121761999","Рекламна","БЪЛГАРИЯ МОЖЕ - Партия","Договор за медийно отразяване"
"ЕКРИТ МЕДИА ООД","204600845","Рекламна","БЪЛГАРИЯ МОЖЕ - Партия","Договор за медийно отразяване"
"Добруджа кабел ЕООД","124519734","Рекламна","БЪЛГАРИЯ МОЖЕ - Партия","Договор за медийно отразяване и реклама"
"ДАРИК РАДИО АД","831476119","Рекламна","БЪЛГАРИЯ МОЖЕ - Партия","Договор за медийно отразяване и реклама"
"Медиатор 2015 ООД","203365903","Рекламна","БЪЛГАРИЯ МОЖЕ - Партия","Договор за медийно отразяване"
"РРС КЪРДЖАЛИ","0006723430097","За осъществяване на връзки с обществеността","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция",""
"Дигитал Мунди ЕООД","207724691","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"Ник-пластик-Валентина Петрова ЕТ","118501817","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"МАРТИ - ДЕНИ ГРУП ЕООД","202244514","Социологическа","КП ГЕРБ-СДС - Коалиция",""
"ВАКОМ АДВЪРТАЙЗИНГ ЕООД ВАРНА","200227758","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"МОРЕТО НЕТ ЕООД","208626887","Социологическа","КП ГЕРБ-СДС - Коалиция",""
"Джей Си Деко Имидж АД","204826560","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"АДЖЕНДА МЕДИЯ ЕООД","201326093","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ФОНДАЦИЯ ""СПИРИТ ПЛЕВЕН""","205911475","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"Медия груп 24 ЕООД","160100650","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"Скай Екстрим ЕООД","201446438","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ТЕВА - ТМ ООД","123139451","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ЕН ДЖИ ВИ ГРУП ЕООД","204560660","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"МЕДИА ГРУП ЕООД","123763333","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ИК ЗИП ЕООД","131049320","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"Пропрес ЕООД","203171211","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ДАЯ ЕООД","103079737","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ПРЕСКЛУБ ВАРНА СНЦ","205953143","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"СТОЕВИ МУЛТИГРУП ООД    ","203860781","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ПОД ТЕПЕТО ООД","200578999","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"СД ВИС ВИТАЛИС-САМАРСКИ И СИЕ","123040082","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ИМД МЕДИЯ ГРУП ЕООД","206829077","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ОП Общинско кабелно радио","0001336340501","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"СИНХРОН МЕДИЯ ООД","104691751","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"Дунавско дело ЕООД вестник Дунавско дело Свищов","104600901","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"СКАТ ООД","812104705","За осъществяване на връзки с обществеността","КП АНТИКОРУПЦИОНЕН БЛОК - Коалиция",""
"ЕТ Янка Боянова в-к Дунавска зора","104120642","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ПРО АДВЪРТАЙЗИНГ ЕООД","103117045","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"Уебграунд Груп АД","207051177","За осъществяване на връзки с обществеността","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция",""
"БНР РРС Бургас","0006723430082","За осъществяване на връзки с обществеността","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция",""
"''ХАСКОВО НОВИНИ"" ООД","206668777","За осъществяване на връзки с обществеността","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция",""
"ОП ОБЩИНСКИ МЕДИЕН ЦЕНТЪР","000931721","За осъществяване на връзки с обществеността","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция",""
"Директ Мейл ЕООД","204078863","Рекламна","КП СИНЯ БЪЛГАРИЯ - Коалиция","Рекламна"
"ШЕМА 08 ЕООД","200258508","Рекламна","КП СИНЯ БЪЛГАРИЯ - Коалиция","Рекламна"
"Фото СТОЙЧЕВ ЕООД","128618473","Рекламна","КП СИНЯ БЪЛГАРИЯ - Коалиция","Рекламна"
"Ред Пойнтс ЕООД","130976278","Рекламна","КП СИНЯ БЪЛГАРИЯ - Коалиция","Рекламна"
"РРС КЪРДЖАЛИ","0006723430097","Рекламна","КП СИНЯ БЪЛГАРИЯ - Коалиция","Рекламна"
"Еском Медиа Груп ООД","202355379","Рекламна","КП СИНЯ БЪЛГАРИЯ - Коалиция","Рекламна"
"потребителска кооперация успех","000435878","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"бяла река еоод","825188920","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"роял оод","106070330","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ДЕЙМОС ЕООД","112522263","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ОП ОБЩИНСКИ МЕДИЕН ЦЕНТЪР","0009317210563","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Севън Старс Ес Пи Ю ЕООД","131056471","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Еском Медиа Груп ООД","202355379","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"ЧЕРНОМОРСКИ ФАКТОР ЕООД","204227392","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"ДИАГАЛПРИНТ ООД","201779325","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Офис Йес ЕООД","201687987","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"ОП РУСЕ АРТ","000530632","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"КИПА-КАЛИНКА ТРИФОНОВА  ЕТ","117043352","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"СПОТ ВИЖЪН ООД","203242815","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"БРЯГ МЕДИА ГРУП ЕООД","114035126","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Дунав прес АД","117039820","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Като на филм ЕООд","208028808","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"ДИАНА ЕООД","116550018","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"МИХАЙЛОВ ТВ ООД","130119552","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"ГОРИЯ ЕООД","205707362","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"РИМЕКС ООД","106514493","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"ИК Компакт медиа ООД ","202393691","За осъществяване на връзки с обществеността","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","За осъществяване на връзки с обществеността"
"ЕТ Янка Боянова в-к Дунавска зора","104120642","За осъществяване на връзки с обществеността","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","За осъществяване на връзки с обществеността"
"БНР -РСС - РАДИО ВАРНА","0006723430025","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"СТЕФАНИ РЕКЛАМА ЕООД","204356782","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"МЕГАБОРД ГРУП ЕООД","205811770","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"МЕДИЯ ОНЛАЙН ГРУП ЕООД","204191601","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"АДВИЖЪН ГРУП ЕООД","205231333","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"БТА","000695071","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"ОП ОБЩИНСКИ МЕДИЕН ЦЕНТЪР","000931721","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"БЪЛГАРСКО НАЦИОНАЛНО РАДИО","000672343","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"ЕЛБИ БОЖИНОВ ООД","130275754","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"КВОРУМ СС ЕООД","206325903","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"БУЛСТРИЙМ ТОЧКА КОМ ЕООД","206754411","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Арена Медиа","117664733","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"таф принт еоод","160022753","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Дигитал Борд ООД","208416700","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Печатница Графикс ЕООД","109600638","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"КАБЕЛ САТ - ЗАПАД ООД","101140198","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"КОБАЛТ МЕДИЯ ГРУП ЕООД","205537052","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ТЕХНОЛОГИЧЕН ПАРК ЕООД","201070594","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ЕТ ""ХЕЛИОС- ГЕОРГИ СЛАВЧЕВ","821163357","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Медия груп 24 ЕООД","160100650","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"шаал оод","117529856","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"КИС ООД","117615472","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"КИПА-КАЛИНКА ТРИФОНОВА  ЕТ","117043352","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Русе Медиа ЕООД","206708168","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ХЕРМЕС МЕДИЯ ГРУП ЕООД","206572476","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"БРЯГ МЕДИА ГРУП ЕООД","114035126","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"АКЦЕНТ БГ ЕООД","201347618","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ПРЕСГРУПА УТРО ЕООД","117017845","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Анонс медиа груп ЕООД","207190323","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ДИ ЕНД ДЖИ ЕООД","123746558","Рекламна","БЪЛГАРИЯ МОЖЕ - Партия","Договор за медийно отразяване и реклама"
"ГЛАСОВЕТЕ.КОМ ЕООД","204275490","За осъществяване на връзки с обществеността","КП СИЯНИЕ - Коалиция","медийни услуги"
"168 ЧАСА ЕООД","831400025","Рекламна","КП СИЯНИЕ - Коалиция",""
"АГУРА ЕНД КО ЕООД","130506104","Рекламна","КП СИЯНИЕ - Коалиция",""
"Еском Медиа Груп ООД","202355379","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"СТЕВЕСТ ЕООД","200676888","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Пропрес ЕООД","203171211","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ЧЕЧОСАН ЕООД","120549872","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"елет авто пепеланови оод","202509012","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ДАРИК РАДИО АД","831476119","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"""БЪЛГАРСКИ ПОЩИ"" ЕАД","121396123","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ОП СУОИ","000057179","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"СМИЛКОВ ЕООД","101742347","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"СМАРТ ХОУМ СИС ООД - НОВА ВАРНА","202977153","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ФАКТОР-Д ЕООД","123688254","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ИК МАРИЦА ИЗТОК ЕООД","123521271","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"Пауър Медиа ЕООД","201393277","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"""ЗАК Аутдор"" ООД","131543175","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ДЕН НЮЗ БГ ЕООД","204341620","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"САЙМЪН КЛИЙН ЕООД","201526158","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"""ПАЙНЕР"" ООД","126012676","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Студио Унико ЕООД","200468129","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"арт профил 1 еоод","201561807","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"АНОНС БГ ЕООД","204144256","Рекламна","ИМА ТАКЪВ НАРОД - Партия","рекламни материали"
"ЕООД ЙОРДАН ЙОРДАНОВ - ПБ ДОБРИЧ","201236767","Рекламна","ИМА ТАКЪВ НАРОД - Партия","рекламни материали"
"Мастър Принт 2004 ООД","115852693","Рекламна","ИМА ТАКЪВ НАРОД - Партия","рекламни материали"
"АЛФАМАРКЕТ ПРИМ ЕООД","202587210","За осъществяване на връзки с обществеността","ИМА ТАКЪВ НАРОД - Партия","медийно отразяване"
"ЕТ Кувел - Кузман Велев","825109346","Рекламна","ИМА ТАКЪВ НАРОД - Партия","рекламни материали"
"БТА","000695071","За осъществяване на връзки с обществеността","ИМА ТАКЪВ НАРОД - Партия","медийно отразяване"
"елфи ж.георгиев еоод","208333350","Рекламна","ИМА ТАКЪВ НАРОД - Партия","рекламни материали"
"Яго Трейд-И.Лилов ЕТ","206233419","Рекламна","ИМА ТАКЪВ НАРОД - Партия","билборд"
"ЯНТРАПРЕС АД","104092980","За осъществяване на връзки с обществеността","ИМА ТАКЪВ НАРОД - Партия","медийно отразяване"
"ДИ ЕНД ДЖИ ЕООД","123746558","За осъществяване на връзки с обществеността","ИМА ТАКЪВ НАРОД - Партия","медийно отразяване"
"ЕЛФИ 1 ЕООД","202536529","Рекламна","ИМА ТАКЪВ НАРОД - Партия","билборд"
"ИнфоЛийд ЕООД ","201946105","За осъществяване на връзки с обществеността","ИМА ТАКЪВ НАРОД - Партия","медийно отразяване"
"СТУДИО МЕДИЯ ЕООД","201583287","За осъществяване на връзки с обществеността","ИМА ТАКЪВ НАРОД - Партия","медийно отразяване"
"МЕДИЯ НЮЗ ЕООД","207131132","За осъществяване на връзки с обществеността","ИМА ТАКЪВ НАРОД - Партия","медийно отразяване"
"Гама Дизайн груп ЕООД","175038603","Рекламна","ИМА ТАКЪВ НАРОД - Партия","рекламни материали"
"Териториална Организация на НТС - Сдружение","000907243","За осъществяване на връзки с обществеността","ИМА ТАКЪВ НАРОД - Партия","медийно отразяване"
"""ПАЙНЕР"" ООД","126012676","Рекламна","ИМА ТАКЪВ НАРОД - Партия","рекламни материали"
"Медиатор 2015 ООД","203365903","Рекламна","ИМА ТАКЪВ НАРОД - Партия","рекламни материали"
"ДИАГАЛПРИНТ ООД","201779325","Рекламна","ИМА ТАКЪВ НАРОД - Партия","рекламни материали"
"Ибис принт ЕООД","206695190","Рекламна","ИМА ТАКЪВ НАРОД - Партия","рекламни материали"
"Естреа - принт ЕООД","203545125","Рекламна","ИМА ТАКЪВ НАРОД - Партия","рекламни материали"
"Висарт ООД","205198043","Рекламна","ИМА ТАКЪВ НАРОД - Партия","рекламни материали"
"СДРУЖЕНИЕ КРИЕЙТИВ КЛУБ","206025592","Рекламна","ИМА ТАКЪВ НАРОД - Партия","рекламни материали"
"Моницони ООД","128565241","Рекламна","ИМА ТАКЪВ НАРОД - Партия","рекламни материали"
"Джи Адвъртайзинг Груп ЕООД","208386723","Рекламна","ИМА ТАКЪВ НАРОД - Партия","рекламни материали"
"Хасковска Марица ЕООД","201291678","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ФРУКТ-Н ЕООД","121513154","Рекламна","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ - Партия","Наем рекламно съоръжение"
"Арт Инженеринг ЕООД","106598255","Рекламна","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ - Партия","Рекламни материали"
"ПРИНТ ЕКСПРЕС РАЗГРАД ЕООД","205498973","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"РЕНТАЛ МЕДИЯ ГРУП ООД","202706522","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ПРИНТАКОМ ДИЗАЙН ООД","205531263","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
