111900008;0;0;21;1;0;100;0;1;4;17;2;0;1;0;0;2;143;3;1;1;0;4;0;0
111900010;0;1;19;1;2;195;2;0;3;20;0;1;0;0;0;3;70;0;1;2;0;1;0;0
111900011;1;2;148;0;0;86;1;16;4;3;3;3;2;10;0;0;10;7;11;0;0;0;0;0
111900012;0;1;59;0;1;79;0;0;1;0;2;7;1;1;0;0;97;0;7;0;1;1;0;0
111900013;0;0;147;1;0;74;2;11;0;7;3;6;2;3;0;2;125;15;16;0;0;0;0;0
111900014;1;1;54;0;2;171;3;0;0;10;2;6;1;5;0;1;42;0;3;0;0;0;0;0
111900015;1;0;106;0;1;84;2;13;0;4;4;5;3;4;0;1;31;0;4;0;0;0;0;0
111900016;0;1;59;0;0;35;1;2;0;0;3;6;1;1;0;1;0;0;8;0;0;0;0;0
111900017;0;0;61;0;1;12;0;7;0;0;3;4;2;2;0;2;0;0;14;0;0;0;0;0
111900018;0;1;143;2;0;126;1;13;0;12;3;14;1;7;0;5;48;4;20;0;0;0;0;0
111900019;2;1;168;1;0;106;2;25;2;20;4;14;2;22;0;4;63;4;15;0;0;0;0;0
111900020;0;1;191;0;2;73;0;2;0;22;4;16;2;24;0;3;6;0;14;2;0;0;0;0
111900021;0;2;191;0;0;67;1;7;2;4;4;6;1;6;0;0;7;0;9;0;0;1;0;0
111900022;1;0;96;0;1;92;1;9;0;14;2;5;1;8;0;3;144;3;12;0;1;0;0;0
111900023;0;2;138;2;2;204;0;13;3;3;6;8;1;5;0;1;26;5;25;0;0;2;0;0
111900024;0;3;180;1;1;64;3;10;3;19;2;14;1;14;1;0;92;2;9;0;0;0;0;0
111900025;1;0;140;1;0;29;0;14;1;2;1;10;2;5;0;1;12;0;9;0;0;0;0;0
111900026;0;0;16;0;0;5;1;1;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0
113300001;3;0;32;0;0;38;0;1;0;0;1;2;6;0;0;0;63;1;13;1;0;0;0;0
113300002;0;2;80;1;0;11;0;62;4;21;1;12;16;5;0;0;26;1;7;0;0;0;0;0
113300003;1;2;115;0;1;22;1;39;4;11;1;13;4;18;0;1;55;0;13;0;0;0;0;0
113300004;0;2;69;3;1;26;0;3;0;0;2;2;6;21;1;0;0;0;6;0;0;0;0;0
113300005;0;1;81;0;0;20;2;60;4;1;3;7;6;3;0;2;235;0;34;0;1;1;0;0
113300006;0;1;76;1;0;24;0;20;1;1;3;3;11;3;0;1;191;0;31;0;0;0;0;0
113300007;2;1;58;0;1;71;0;27;1;1;3;3;2;0;0;5;146;0;18;0;0;0;0;0
113300008;1;25;77;0;0;37;0;67;1;0;11;0;2;2;15;1;107;1;8;0;0;0;0;0
113300009;13;26;129;1;0;30;1;47;3;6;1;1;3;3;0;3;109;0;6;0;0;0;0;0
113300010;5;2;137;1;1;28;7;11;1;3;6;9;18;24;1;0;47;2;21;1;0;1;0;0
113300011;5;2;139;0;1;38;4;16;1;2;1;5;7;40;0;0;20;0;15;0;0;0;0;0
113300012;0;0;9;0;0;6;2;2;1;0;2;3;0;0;0;1;13;0;4;0;0;0;0;0
113300013;6;1;81;1;0;21;0;3;1;0;0;3;3;7;0;1;0;0;15;0;0;0;0;0
113300014;0;1;64;0;0;24;0;3;1;0;2;13;3;3;0;0;0;0;6;0;0;0;0;0
113300015;3;0;37;0;0;10;0;2;0;0;1;2;2;1;0;0;0;0;7;0;0;0;0;0
113300016;3;0;57;0;0;36;0;41;1;3;3;9;3;1;0;2;186;1;29;0;1;0;0;0
113300017;6;6;72;0;1;12;0;23;4;3;4;4;2;2;1;3;391;0;12;0;0;0;0;0
113300018;8;0;54;0;0;20;0;3;3;0;1;4;4;12;1;5;0;0;2;0;0;0;0;0
113300019;1;0;70;1;0;3;0;0;0;1;1;8;6;0;0;0;0;0;7;0;0;0;0;0
113300020;5;0;144;0;0;56;1;17;3;0;0;13;10;36;3;0;7;1;10;0;0;0;0;0
113300021;3;0;60;0;0;32;2;9;0;1;0;5;11;15;0;1;6;0;17;0;0;0;0;0
113300022;4;0;43;0;0;17;0;7;0;0;3;4;12;12;0;2;1;0;8;0;0;0;0;0
113300023;6;2;107;0;2;93;0;17;6;7;4;17;21;18;1;2;6;3;49;1;0;0;0;0
113300024;7;2;77;0;0;86;2;15;0;3;6;15;13;32;0;1;2;0;42;0;0;0;0;0
113300025;6;5;77;0;0;80;0;14;0;0;3;11;12;33;1;0;9;0;24;0;0;0;0;0
113300026;20;2;163;0;2;94;2;29;0;3;6;14;24;41;0;3;12;5;41;0;0;1;0;0
113300027;6;1;97;0;0;73;0;20;2;4;0;14;16;36;0;2;2;1;20;0;0;0;0;0
113300028;9;2;138;0;1;135;2;34;1;0;6;16;15;49;0;0;4;2;44;0;0;0;0;0
113300029;7;0;132;1;0;97;5;46;4;7;1;18;15;35;0;3;16;1;60;0;0;0;0;0
113300030;5;3;98;2;2;50;1;26;0;4;7;12;11;22;0;2;4;1;24;0;0;0;0;0
113300031;12;4;110;0;0;99;1;19;1;8;5;11;12;60;0;0;6;2;47;0;0;0;0;0
113300032;10;3;104;1;0;69;0;11;2;142;3;8;14;23;1;3;0;1;20;2;0;0;0;0
113300033;10;2;134;2;0;80;2;29;5;9;3;13;28;45;0;3;8;0;39;0;0;0;0;0
113300034;9;2;134;0;0;80;1;36;1;0;5;10;28;42;0;3;3;4;48;0;1;1;0;0
113300035;9;0;65;1;1;66;0;13;1;36;1;2;9;15;0;0;0;0;7;1;0;0;0;0
113300036;8;0;103;0;0;57;0;7;1;0;8;9;12;24;0;0;0;0;13;1;0;0;0;0
113300037;16;0;71;0;0;30;3;4;2;12;1;5;14;19;0;0;1;0;9;0;0;0;0;0
113300038;2;1;54;1;0;51;1;11;0;0;6;9;5;27;0;1;1;0;21;0;1;0;0;0
113300039;10;1;35;0;0;21;1;3;0;0;0;4;6;19;0;2;0;0;6;0;0;0;0;0
113300040;6;0;59;0;0;20;0;5;0;0;0;5;7;19;0;0;0;0;4;0;0;0;0;0
113300041;0;1;16;0;0;9;2;2;0;4;2;3;0;0;0;1;4;2;2;0;0;0;0;0
113400001;0;1;68;0;2;66;0;15;2;8;2;17;9;56;0;0;21;9;12;0;1;0;0;0
131900037;6;0;94;0;0;86;1;26;0;1;4;13;13;48;0;2;148;2;43;0;2;0;0;0
131900038;0;0;104;0;0;102;2;37;2;1;5;20;15;49;3;1;7;2;45;0;0;0;0;0
131900039;2;0;93;1;0;79;0;27;1;5;2;17;9;37;1;0;11;6;21;0;0;0;0;0
131900040;0;1;155;0;0;98;9;32;2;0;1;20;27;48;1;1;1;2;33;0;1;0;0;0
131900041;3;0;76;0;0;92;3;21;1;0;4;15;15;18;3;0;0;1;41;0;0;0;0;0
131900042;0;0;86;0;0;91;0;18;0;1;4;28;7;26;4;1;8;2;30;1;0;0;0;0
131900043;0;0;10;0;2;0;2;0;0;5;0;0;3;0;0;1;227;0;87;1;0;0;0;0
131900044;1;0;5;1;0;1;8;0;0;12;0;0;11;0;0;1;62;1;78;2;0;0;0;0
