key,clicks,impressions,ctr,position
стоян йонков колев,1.0,45.0,0.0222,2.36
александър николов пулев,1.0,45.0,0.0222,4.29
виктория бранимирова григорова,1.0,42.0,0.023799999999999998,5.55
абил исмет абил,1.0,40.0,0.025,12.47
николай костадинов найденов,1.0,39.0,0.0256,3.08
антонио владимиров василев,1.0,38.0,0.0263,5.16
надя петрова дпс,1.0,37.0,0.027000000000000003,10.38
aleksandar haytov,1.0,35.0,0.0286,6.63
сребрин стоянов,1.0,34.0,0.0294,6.62
калина любенова,1.0,33.0,0.030299999999999997,8.64
мюмюн сали мюмюн,1.0,33.0,0.030299999999999997,15.76
витко вичев,1.0,29.0,0.0345,5.72
златомира мострова,1.0,29.0,0.0345,13.69
даниела андреева георгиева,1.0,28.0,0.035699999999999996,5.14
мирена гуглева-иванова,1.0,28.0,0.035699999999999996,7.21
вяра радкова петрова,1.0,27.0,0.037000000000000005,3.26
мирослав богданов дачев,1.0,24.0,0.0417,5.33
димитър колев икономист,1.0,24.0,0.0417,10.33
кирил синевирски,1.0,24.0,0.0417,11.54
татяна василева александрова,1.0,24.0,0.0417,11.75
нуретин тасим,1.0,23.0,0.0435,7.52
мария димова илиева величие,1.0,22.0,0.0455,9.73
пламен красимиров белов,1.0,22.0,0.0455,10.45
избори българия,1.0,22.0,0.0455,78.91
стефан александров белчев,1.0,21.0,0.047599999999999996,9.14
2014bg16rfop002,1.0,21.0,0.047599999999999996,11.86
коста батков,1.0,21.0,0.047599999999999996,12.43
виктория добромирова добрева,1.0,20.0,0.05,3.9
петър илиев тодоров,1.0,20.0,0.05,9.7
росина куртева,1.0,19.0,0.0526,4.16
васил иванов горанов,1.0,19.0,0.0526,6.37
асен илиев бабачев,1.0,19.0,0.0526,8.26
виктория манчева,1.0,19.0,0.0526,8.26
камелия бориславова,1.0,19.0,0.0526,9.47
резултати избори 2026 по общини,1.0,19.0,0.0526,9.79
христина христова велчева,1.0,19.0,0.0526,10.84
димитър ивайлов павлов,1.0,18.0,0.0556,6.56
бойка славчева,1.0,18.0,0.0556,8.83
светлана митошева,1.0,18.0,0.0556,14.67
даниела бакърджиева,1.0,17.0,0.0588,4.82
деян йотов,1.0,17.0,0.0588,8.59
владимир зарков радомир,1.0,17.0,0.0588,8.76
нели андреева прогресивна българия,1.0,17.0,0.0588,11.47
кметски избори,1.0,17.0,0.0588,44.24
секции за гласуване в англия 2026,1.0,16.0,0.0625,5.81
стефан свиленов прогресивна българия,1.0,16.0,0.0625,7.25
йоан богданов,1.0,16.0,0.0625,7.38
тихомир алексов,1.0,16.0,0.0625,10.12
дамян лазаров,1.0,16.0,0.0625,10.31
стойне стойнев,1.0,16.0,0.0625,27.44
михаил ивов михайлов,1.0,15.0,0.0667,4.67
невянка здравкова,1.0,15.0,0.0667,5.67
детелина симеонова сливен,1.0,15.0,0.0667,7.8
елина георгиева димитрова,1.0,15.0,0.0667,9.67
джипо николов джипов,1.0,15.0,0.0667,17.33
иван драгомиров димитров,1.0,14.0,0.07139999999999999,4.43
тефик парафитов,1.0,14.0,0.07139999999999999,7.93
станислав петрунов,1.0,14.0,0.07139999999999999,14.5
