key,clicks,impressions,ctr,position
https://electionsbg.com/candidate/Александър Ервант Арамян/,10.0,33.0,0.303,1.55
https://electionsbg.com/section/131900181,10.0,32.0,0.3125,3.84
https://electionsbg.com/section/131900187,10.0,31.0,0.3226,4.26
https://electionsbg.com/section/030600380,10.0,25.0,0.4,4.88
https://electionsbg.com/section/131900182,10.0,22.0,0.4545,2.82
https://electionsbg.com/candidate/Любен Цветанов Ценов,10.0,22.0,0.4545,3.64
https://electionsbg.com/section/131900186,10.0,20.0,0.5,2.85
https://electionsbg.com/candidate/Александра Йовчева Вълчева/,9.0,163.0,0.0552,8.48
https://electionsbg.com/section/152100002,9.0,65.0,0.13849999999999998,5.38
https://electionsbg.com/candidate/Емил Златков Пържанов,9.0,62.0,0.1452,4.19
https://electionsbg.com/sections/55155,9.0,58.0,0.1552,7.64
https://electionsbg.com/sections/17422,9.0,56.0,0.1607,6.75
https://electionsbg.com/section/131900171,9.0,50.0,0.18,4.6
https://electionsbg.com/section/081700009,9.0,50.0,0.18,72.42
https://electionsbg.com/section/262600007,9.0,49.0,0.1837,6.63
https://electionsbg.com/candidate/Али Али Хатип,9.0,42.0,0.2143,14.88
https://electionsbg.com/candidate/Кольо Вълков Шопов,9.0,40.0,0.225,5.33
https://electionsbg.com/candidate/Цено Младенов Тодоров,9.0,33.0,0.2727,7.39
https://electionsbg.com/candidate/Радослав Живков Василев,9.0,31.0,0.2903,5.19
https://electionsbg.com/section/172600003,9.0,30.0,0.3,3.6
https://electionsbg.com/sections/36837,9.0,30.0,0.3,4.2
https://electionsbg.com/candidate/Стойчо Викторов Бозуков/,9.0,28.0,0.3214,2.11
https://electionsbg.com/candidate/Цветослав Владимиров Ленков,9.0,27.0,0.3333,5.22
https://electionsbg.com/candidate/Димитрия Атанасова Митренова,8.0,232.0,0.0345,10.27
https://electionsbg.com/candidate/Симона Стоянова Люцканова,8.0,171.0,0.046799999999999994,9.92
https://electionsbg.com/candidate/Кристина Стоянова Костадинова,8.0,133.0,0.0602,6.44
https://electionsbg.com/candidate/Юсуф Муса Чолак,8.0,92.0,0.087,7.03
https://electionsbg.com/candidate/Роберт Стефанов Василев,8.0,85.0,0.0941,7.13
https://electionsbg.com/sections/39970,8.0,80.0,0.1,7.71
https://electionsbg.com/sections/63427,8.0,78.0,0.1026,10.15
https://electionsbg.com/candidate/Петър Николаев Бенев,8.0,68.0,0.1176,6.56
https://electionsbg.com/candidate/Даниел Пламенов Пелов,8.0,68.0,0.1176,9.0
https://electionsbg.com/candidate/Ася Димитрова Панджерова,8.0,65.0,0.1231,26.02
https://electionsbg.com/candidate/Ибрям Алиев Мустафов,8.0,60.0,0.1333,5.9
https://electionsbg.com/section/131900016,8.0,60.0,0.1333,8.85
https://electionsbg.com/sections/81414,8.0,59.0,0.1356,5.49
https://electionsbg.com/section/030200002,8.0,56.0,0.1429,7.2
https://electionsbg.com/person/radoslav-stefanov-benevreshki-e2bb9b,8.0,54.0,0.1481,7.85
https://electionsbg.com/candidate/Александър Валентинов Дрехарски,8.0,42.0,0.1905,3.74
https://electionsbg.com/candidate/Веселин Маринов Енчевски,8.0,41.0,0.19510000000000002,1.88
https://electionsbg.com/sections/00895,8.0,41.0,0.19510000000000002,4.9
https://electionsbg.com/candidate/Васка Александрова Милушева,8.0,38.0,0.21050000000000002,7.53
https://electionsbg.com/candidate/Нели Иванова Симеонова,8.0,37.0,0.2162,4.51
https://electionsbg.com/sections/44879,8.0,37.0,0.2162,4.57
https://electionsbg.com/candidate/Александра Александрова Данчева,8.0,37.0,0.2162,5.43
https://electionsbg.com/section/254620050,8.0,35.0,0.2286,4.14
https://electionsbg.com/candidate/Шабан Мехмедов Моллов,8.0,34.0,0.2353,3.12
https://electionsbg.com/candidate/Георги Ненов Няголов,8.0,34.0,0.2353,3.76
https://electionsbg.com/sections/65437,8.0,29.0,0.2759,4.14
https://electionsbg.com/sections/30572,8.0,29.0,0.2759,5.03
https://electionsbg.com/sections/20482,8.0,27.0,0.2963,6.3
https://electionsbg.com/candidate/Даниела Михова Колева-Димитрова/,8.0,25.0,0.32,4.6
https://electionsbg.com/candidate/Катя Костова Николова,8.0,25.0,0.32,4.6
https://electionsbg.com/section/040400122,8.0,25.0,0.32,5.04
https://electionsbg.com/section/254621037,8.0,24.0,0.3333,4.38
https://electionsbg.com/sections/35496,8.0,21.0,0.381,6.05
https://electionsbg.com/sections/06505,8.0,16.0,0.5,4.06
https://electionsbg.com/candidate/Елица Костадинова Раданова/,8.0,14.0,0.5714,1.86
https://electionsbg.com/candidate/Стилиана Иванова Бобчева,7.0,355.0,0.0197,9.97
https://electionsbg.com/candidate/Кристина Стоянова Костадинова/,7.0,262.0,0.026699999999999998,3.67
https://electionsbg.com/candidate/Едиз-ханиф Баязидов Саидов,7.0,171.0,0.0409,9.7
https://electionsbg.com/candidate/Светла Вълканова Коджабашева,7.0,104.0,0.0673,8.15
https://electionsbg.com/en/person/radoslav-stefanov-benevreshki-e2bb9b/,7.0,103.0,0.068,9.01
https://electionsbg.com/person/lchezar-dimitrov-karadimov-e39250,7.0,101.0,0.0693,7.65
https://electionsbg.com/candidate/Красен Лъчезаров Раковски/sections/,7.0,95.0,0.0737,7.07
https://electionsbg.com/section/131900015,7.0,80.0,0.0875,6.25
https://electionsbg.com/sections/16359,7.0,75.0,0.0933,6.12
https://electionsbg.com/candidate/Алпай Мехмедов Чолаков,7.0,74.0,0.0946,2.35
https://electionsbg.com/candidate/Владислав Йорданов Ников/,7.0,66.0,0.1061,5.91
https://electionsbg.com/section/171300076,7.0,65.0,0.10769999999999999,13.28
https://electionsbg.com/section/042200002,7.0,63.0,0.11109999999999999,7.54
